Id,SalePrice
2658,128372.5734543879
2718,148385.92477175288
2414,221683.4486377288
1989,108875.37264352854
625,177964.1873467358
333,92918.20647547618
1327,107052.35600313342
858,171380.4719233662
95,174172.59821919576
1568,163070.88129819412
2482,164636.90334578234
1364,121761.38169691295
2584,147617.25585207483
818,270736.36494105664
2673,151039.80394262564
2089,134186.90205982307
1297,139732.8952617779
790,116243.22147304653
2616,197432.05155867626
720,193453.8105159439
222,147992.33378184246
557,119154.33515688856
1148,201647.19979137013
2766,182878.6278195569
534,181041.036809112
1452,130216.57732016033
630,125769.28794495849
2648,120892.06051045567
125,157080.55627630034
1904,61277.28135315539
1670,105634.25744429538
756,98712.35255876224
717,186866.07774813665
1032,160263.4375838726
852,229518.99946931165
1731,173666.40660754836
2639,112112.7421678377
2071,93545.28989655427
1267,131257.29315566196
1851,186556.24643357014
567,154675.58931458744
2439,208097.23889876992
1898,156723.6072157001
647,173945.96442134588
2256,225007.01727552267
979,96665.65399602558
1444,231418.05912920908
2485,126888.9221135661
157,133081.79389555551
88,116935.96838411846
2003,114993.28599372327
186,194765.5175543429
1425,242238.82871235238
2695,121681.34090898004
738,105767.88175459519
395,157843.78254345703
1353,157552.55140906238
1878,141383.0431347472
390,161795.17552851405
1456,240942.08459942907
1103,305599.9255936736
1387,116241.76384104702
2070,142984.32360537077
1199,184233.49043477327
2479,176775.90905255926
501,303558.93904506904
2362,94958.49022668148
1718,204295.30479436938
2188,91386.73421186364
1483,156418.91078363126
2557,81608.50751892621
437,374442.15185152413
2224,174233.5615443613
1628,178551.13165537015
397,142642.41586558343
587,201821.1071108755
971,137481.4034713438
2611,143606.72302606667
1887,100093.6925224866
2399,358068.1885291999
2148,203794.54361472244
304,114015.80547016191
1997,128355.23910404897
2817,120717.00935537225
1431,208774.48542066696
427,303832.8917311761
263,132769.93931710636
598,172721.8040007314
2895,232021.37726603006
687,153933.42608107568
1822,131610.1608692251
2191,105631.33139178158
179,115706.34934063829
1009,215407.2675321413
2010,130076.05371336077
1991,140976.71941113225
1411,174739.6018209848
1721,237949.97819210967
1144,192659.86467090444
593,223461.0272132342
575,357667.1001565574
1249,163201.9236523107
1604,120412.24665399452
1064,408175.89811943116
1923,159629.44883744165
1988,110479.70055179644
2325,171326.97246215196
114,198775.82760718692
2700,156726.34538340147
217,114057.66748920092
343,171031.81928057614
386,222627.99210163497
2005,117181.39956618981
2908,139501.4735574039
1814,237219.8438095575
2446,485576.9414062884
208,146726.98764055982
1679,100592.15673988433
822,322298.97924489336
6,190955.19128978095
1781,364090.5081942958
2397,270910.6394526841
2340,314163.429900364
1618,178068.10885414665
2843,126627.42929320535
1061,359216.5735869527
2786,133136.95677273042
1935,140845.46225088483
1341,120579.02493469483
521,258817.83798338572
2136,143615.4655028394
996,197600.4456227272
227,134056.98773601645
135,167780.1093207422
1167,163853.62022020592
294,216011.1775524998
1776,204627.05349557791
540,170376.85241393762
1717,205038.32569872914
2303,131926.7675155865
116,187372.693293649
127,136302.28482368635
1371,131165.88224851276
1014,117739.15773533186
1507,104636.26768711302
702,121157.75229987233
750,139848.61202719333
261,160881.7074335613
1559,63742.365004894236
577,231790.30251757463
2812,203048.37715214828
2080,155680.66064255987
1368,109600.63726811713
2376,122048.37773829918
659,106995.75879225665
1235,133187.22576638413
332,76302.82205204606
1917,145005.98265886973
2094,248485.47021263067
1460,253730.85303883845
1471,227224.80810911016
1509,124596.61888118062
1922,132078.0962141766
433,465804.4494139187
460,255142.09864796055
1116,236043.38769748813
1137,172308.76955586835
53,165724.61207006834
2354,266323.3305434443
1475,206853.38245845027
1761,450998.4044645292
842,142846.4549064706
2739,151357.50974528448
2509,149537.1130203304
1007,199951.69551440087
2610,194382.45190860124
1952,86130.27305759564
2719,152140.82648415028
2921,89270.34715363287
1966,135861.96895067338
292,99382.10082409748
1204,196134.94887719458
1829,292169.76244295546
2419,180598.26843483408
391,156343.7652021958
798,114070.78417327846
481,203951.54421049636
193,184906.35519468665
555,115359.40034781769
899,64574.044165129504
2357,193545.29607354704
328,128200.71631669808
1356,114628.35624103513
1154,100131.45263205514
1730,178932.85196941328
2249,160337.20407995977
1119,268285.97475186834
2856,137228.0170604446
1394,121320.95465346599
2587,134470.0938505801
61,304107.0300417878
2661,167024.93062654184
2711,124546.90044140545
1147,187573.66145198955
757,128396.53293687219
2623,98014.17880918946
2378,143279.34858900995
1413,143187.29373530176
1722,226333.78659127234
1112,222008.90906086433
1623,191497.10656312367
1201,193339.90503593022
1513,114736.82161445062
957,302624.2057882229
1171,259486.65808443632
1145,195241.80026987524
2726,255663.1986349056
