Id,SalePrice
2658,118199.57462250482
2718,146209.09425180499
2414,219640.9711434165
1989,104963.20844261604
625,177338.35485442824
333,91989.92918505536
1327,102859.03075260835
858,165767.67501644697
95,175319.17355567176
1568,164432.35891994328
2482,162806.8844026431
1364,119907.76357974364
2584,140452.58129246387
818,281854.67634885054
2673,146536.1073996351
2089,135248.83767232296
1297,137203.06910868915
790,117814.15721120872
2616,208824.29291599602
720,187106.32221377612
222,147519.29603859602
557,121661.3621007664
1148,198479.96495368282
2766,176571.29275653372
534,183111.94210523448
1452,131277.30655978154
630,122087.52840978416
2648,128601.17839108293
125,162644.10898671896
1904,64837.11033646655
1670,103954.027167133
756,96282.63989536959
717,184193.9089576042
1032,155093.5645642889
852,226418.6051882216
1731,178842.01551828772
2639,114594.50559753898
2071,95001.49423279054
1267,126485.64382830248
1851,190063.48371275663
567,159019.3634885638
2439,207819.02367788745
1898,157669.4369327093
647,173829.69788994108
2256,224386.3791848549
979,95295.71707510774
1444,229435.9445226165
2485,124993.9400340603
157,132836.95331457542
88,115313.8938691493
2003,111837.82737593728
186,193543.6672217329
1425,243662.97218493634
2695,119832.92205968054
738,98915.34182865564
395,160869.2145223055
1353,168344.49315255843
1878,144230.64693476705
390,159463.97405653837
1456,239002.6612437498
1103,301407.6408054647
1387,120752.2258871963
2070,139618.31260134364
1199,180801.06500838834
2479,175020.82712663236
501,303185.15398370015
2362,92953.97794001385
1718,203213.82785327223
2188,87239.30868696565
1483,150853.4261807521
2557,83485.88086495805
437,370823.6210079943
2224,166562.06904948034
1628,175759.85768088215
397,142075.46883610517
587,192774.7100174483
971,132233.35804495335
2611,137611.91433797765
1887,98609.11256687524
2399,354618.1878248712
2148,200562.18121377096
304,116004.56396546289
1997,122803.11595078745
2817,116594.388848054
1431,218587.4803048353
427,300736.6500561152
263,130881.65070563364
598,169751.35970408662
2895,231424.4796504337
687,156691.7670154512
1822,131021.34385686641
2191,105911.57579249956
179,118355.02397009819
1009,218485.69318966227
2010,125558.28859971273
1991,129711.8459267259
1411,174709.66445953064
1721,237694.08205956573
1144,191235.2934348029
